host,service,plot,type,x,y,unit
google,PING,pl,avg,1389549600,0.45715,percent
google,PING,pl,avg,1389571200,0,percent
google,PING,pl,avg,1389592800,0,percent
google,PING,pl,avg,1389614400,0,percent
google,PING,pl,avg,1389636000,0,percent
google,PING,pl,avg,1389657600,0,percent
google,PING,pl,avg,1389679200,0.44444,percent
google,PING,pl,avg,1389700800,0,percent
google,PING,pl,avg,1389722400,0,percent
google,PING,pl,avg,1389744000,0,percent
google,PING,pl,avg,1389765600,0,percent
google,PING,pl,avg,1389787200,1.1892,percent
google,PING,pl,avg,1389808800,2.94118,percent
google,PING,pl,avg,1389830400,2.85713,percent
google,PING,pl,avg,1389852000,0,percent
google,PING,pl,avg,1389873600,0,percent
google,PING,pl,avg,1389895200,0,percent
google,PING,pl,avg,1389916800,0,percent
google,PING,pl,avg,1389938400,0,percent
google,PING,pl,avg,1389960000,0,percent
google,PING,pl,avg,1389981600,0,percent
google,PING,pl,avg,1390003200,0,percent
google,PING,pl,avg,1390024800,0,percent
google,PING,pl,avg,1390046400,0,percent
google,PING,pl,avg,1390068000,0,percent
google,PING,pl,avg,1390089600,0,percent
google,PING,pl,avg,1390111200,0,percent
google,PING,pl,avg,1390132800,0,percent
google,PING,pl,avg,1390154400,0,percent
google,PING,pl,avg,1390176000,0,percent
google,PING,pl,avg,1390197600,0,percent
google,PING,pl,avg,1390219200,0,percent
google,PING,pl,avg,1390240800,0,percent
google,PING,pl,avg,1390262400,0,percent
google,PING,pl,avg,1390284000,0,percent
google,PING,pl,avg,1390305600,0,percent
google,PING,pl,avg,1390327200,0,percent
google,PING,pl,avg,1390348800,0,percent
google,PING,pl,avg,1390370400,0,percent
google,PING,pl,avg,1390392000,0,percent
google,PING,pl,avg,1390413600,0,percent
google,PING,pl,avg,1390435200,0,percent
google,PING,pl,avg,1390456800,0,percent
google,PING,pl,avg,1390478400,0,percent
google,PING,pl,avg,1390500000,0,percent
google,PING,pl,avg,1390521600,0,percent
google,PING,pl,avg,1390543200,0,percent
google,PING,pl,avg,1390564800,0,percent
google,PING,pl,avg,1390586400,0,percent
google,PING,pl,avg,1390608000,0,percent
google,PING,pl,avg,1390629600,0,percent
google,PING,pl,avg,1390651200,0,percent
google,PING,pl,avg,1390672800,0,percent
google,PING,pl,avg,1390694400,0,percent
google,PING,pl,avg,1390716000,0,percent
google,PING,pl,avg,1390737600,0,percent
google,PING,pl,avg,1390759200,0,percent
google,PING,pl,avg,1390780800,0,percent
google,PING,pl,avg,1390802400,0,percent
google,PING,pl,avg,1390824000,0,percent
google,PING,pl,avg,1390845600,0.94119,percent
